subject,supertype
catalhoyuk#Geoemydidae,catalhoyuk#Cryptodira
catalhoyuk#GeometricPrimitive,catalhoyuk#Geometry
catalhoyuk#Geometry,rdf-schema#Resource
catalhoyuk#Gerbillinae,catalhoyuk#Muridae
catalhoyuk#Glires,catalhoyuk#Euarchontoglires
catalhoyuk#Gliridae,catalhoyuk#Sciuromorpha
catalhoyuk#Glirinae,catalhoyuk#Gliridae
catalhoyuk#Glis,catalhoyuk#Glirinae
catalhoyuk#GlisGlis,catalhoyuk#Glis
catalhoyuk#Gnathostomata,catalhoyuk#Vertebrata
catalhoyuk#GrindingInstallation,catalhoyuk#Feature
catalhoyuk#Hamate,catalhoyuk#DistalCarpalBone
catalhoyuk#HandRecess,catalhoyuk#NicheRecess
catalhoyuk#Haplorrhini,catalhoyuk#Primates
catalhoyuk#Hearth,catalhoyuk#FireInstallation
catalhoyuk#Hemidactylus,catalhoyuk#Gekkonidae
catalhoyuk#HemidactylusTurcicus,catalhoyuk#Hemidactylus
catalhoyuk#HipBone,catalhoyuk#IrregularBone
catalhoyuk#Hippomorpha,catalhoyuk#Perissodactyla
catalhoyuk#HodderLevel,catalhoyuk#Level
catalhoyuk#Hominidae,catalhoyuk#Hominoidea
catalhoyuk#Hominoidea,catalhoyuk#Catarrhini
catalhoyuk#Homo,catalhoyuk#Hominidae
catalhoyuk#HomoSapiens,catalhoyuk#Homo
catalhoyuk#HouseWall,catalhoyuk#Wall
catalhoyuk#HumanRemainsSpecialist,catalhoyuk#SocialPerson
catalhoyuk#Humerus,catalhoyuk#LongBone
catalhoyuk#Hyla,catalhoyuk#Hylinae
catalhoyuk#HylaArborea,catalhoyuk#HylaHyla
catalhoyuk#HylaHyla,catalhoyuk#Hyla
catalhoyuk#Hylidae,catalhoyuk#Hyloidea
catalhoyuk#Hylinae,catalhoyuk#Hylidae
catalhoyuk#Hyloidea,catalhoyuk#Neobatrachia
catalhoyuk#HyoidBone,catalhoyuk#IrregularBone
catalhoyuk#Iguania,catalhoyuk#Squamata
catalhoyuk#IliumLeftHipbone,catalhoyuk#LeftHipBone
catalhoyuk#IliumRightHipbone,catalhoyuk#RightHipBone
catalhoyuk#Image,catalhoyuk#Documentation
catalhoyuk#IncisorTooth,catalhoyuk#Tooth
catalhoyuk#Incus,catalhoyuk#AuditoryOssicle
catalhoyuk#Individual,catalhoyuk#BiologicalPerson
catalhoyuk#InferiorNasalConcha,catalhoyuk#IrregularBone
catalhoyuk#InteriorWall,catalhoyuk#Wall
catalhoyuk#IntermediateCuneiformBone,catalhoyuk#CuneiformBone
catalhoyuk#InternalPartition,catalhoyuk#Partition
catalhoyuk#InterparietalBone,catalhoyuk#SuturalBone
catalhoyuk#IrregularBone,catalhoyuk#BoneOrgan
catalhoyuk#IschiumLeftHipbone,catalhoyuk#LeftHipBone
catalhoyuk#IschiumRightHipbone,catalhoyuk#RightHipBone
catalhoyuk#Kerb,catalhoyuk#Feature
catalhoyuk#Kiln,catalhoyuk#Feature
catalhoyuk#Lacerta,catalhoyuk#Lacertidae
catalhoyuk#LacertaTrilineata,catalhoyuk#Lacerta
catalhoyuk#Lacertidae,catalhoyuk#Lacertoidea
catalhoyuk#Lacertoidea,catalhoyuk#Squamata
catalhoyuk#LacrimalBone,catalhoyuk#IrregularBone
catalhoyuk#Ladder,catalhoyuk#Feature
catalhoyuk#LadderEmplacement,catalhoyuk#Feature
catalhoyuk#LadderScar,catalhoyuk#LadderEmplacement
catalhoyuk#Lagomorpha,catalhoyuk#Glires
catalhoyuk#Lagurus,catalhoyuk#Arvicolinae
catalhoyuk#LagurusLagurus,catalhoyuk#Lagurus
catalhoyuk#LateralCuneiformBone,catalhoyuk#CuneiformBone
catalhoyuk#LateralIncisorTooth,catalhoyuk#IncisorTooth
catalhoyuk#Laurasiatheria,catalhoyuk#Boreoeutheria
catalhoyuk#Layer,catalhoyuk#Unit
catalhoyuk#LedgeShelf,catalhoyuk#Feature
catalhoyuk#LeftCalcaneus,catalhoyuk#Calcaneus
catalhoyuk#LeftCapitate,catalhoyuk#Capitate
catalhoyuk#LeftClavicle,catalhoyuk#Clavicle
catalhoyuk#LeftCuboidBone,catalhoyuk#CuboidBone
catalhoyuk#LeftEighthRib,catalhoyuk#EighthRib
catalhoyuk#LeftEleventhRib,catalhoyuk#EleventhRib
catalhoyuk#LeftFabella,catalhoyuk#Fabella
catalhoyuk#LeftFemur,catalhoyuk#Femur
catalhoyuk#LeftFibula,catalhoyuk#Fibula
catalhoyuk#LeftFifthMetacarpalBone,catalhoyuk#FifthMetacarpalBone
catalhoyuk#LeftFifthMetatarsalBone,catalhoyuk#FifthMetatarsalBone
catalhoyuk#LeftFifthRib,catalhoyuk#FifthRib
catalhoyuk#LeftFirstLowerMolarTooth,catalhoyuk#SecondaryFirstMandibularMolarTooth
catalhoyuk#LeftFirstLowerPremolarTooth,catalhoyuk#FirstMandibularPremolarTooth
catalhoyuk#LeftFirstMetacarpalBone,catalhoyuk#FirstMetacarpalBone
catalhoyuk#LeftFirstMetatarsalBone,catalhoyuk#FirstMetatarsalBone
catalhoyuk#LeftFirstRib,catalhoyuk#FirstRib
catalhoyuk#LeftFirstUpperMolarTooth,catalhoyuk#SecondaryFirstUpperMolarTooth
catalhoyuk#LeftFirstupperPremolarTooth,catalhoyuk#FirstMaxillaryPremolarTooth
catalhoyuk#LeftFourthMetacarpalBone,catalhoyuk#FourthMetacarpalBone
catalhoyuk#LeftFourthMetatarsalBone,catalhoyuk#FourthMetatarsalBone
catalhoyuk#LeftFourthRib,catalhoyuk#FourthRib
catalhoyuk#LeftHamate,catalhoyuk#Hamate
catalhoyuk#LeftHipBone,catalhoyuk#HipBone
catalhoyuk#LeftHumerus,catalhoyuk#Humerus
catalhoyuk#LeftIncus,catalhoyuk#Incus
catalhoyuk#LeftInferiorNasalConcha,catalhoyuk#InferiorNasalConcha
catalhoyuk#LeftIntermediateCuneiformBone,catalhoyuk#IntermediateCuneiformBone
catalhoyuk#LeftLacrimalBone,catalhoyuk#LacrimalBone
catalhoyuk#LeftLateralCuneiformBone,catalhoyuk#LateralCuneiformBone
catalhoyuk#LeftLowerCanineTooth,catalhoyuk#SecondaryLowerCanineTooth
catalhoyuk#LeftLowerCentralIncisorTooth,catalhoyuk#SecondaryLowerCentralIncisorTooth
catalhoyuk#LeftLowerLateralIncisorTooth,catalhoyuk#SecondaryLowerLateralIncisorTooth
catalhoyuk#LeftLunate,catalhoyuk#Lunate
catalhoyuk#LeftMalleus,catalhoyuk#Malleus
catalhoyuk#LeftMandible,catalhoyuk#Mandible
catalhoyuk#LeftMaxilla,catalhoyuk#Maxilla
catalhoyuk#LeftMedialCuneiformBone,catalhoyuk#MedialCuneiformBone
catalhoyuk#LeftNasalBone,catalhoyuk#NasalBone
catalhoyuk#LeftNinthRib,catalhoyuk#NinthRib
catalhoyuk#LeftPalatineBone,catalhoyuk#PalatineBone
catalhoyuk#LeftParietalBone,catalhoyuk#ParietalBone
catalhoyuk#LeftPatella,catalhoyuk#Patella
catalhoyuk#LeftPisiform,catalhoyuk#Pisiform
catalhoyuk#LeftPrimaryFirstLowerMolarTooth,catalhoyuk#PrimaryFirstMandibularMolarTooth
catalhoyuk#LeftPrimaryFirstUpperMolarTooth,catalhoyuk#PrimaryFirstUpperMolarTooth
catalhoyuk#LeftPrimaryLowerCanineTooth,catalhoyuk#PrimaryLowerCanineTooth
